id_pais,nombre_pais,id_departamento,nombre_departamento,id_provincia,nombre_provincia,id_municipio,nombre_municipio,id_recinto,nombre_recinto,Direccion,latitud,longitud
4,Alemania,61,Berlín         ,1,Berlín,1,Berlín,25129,Embajada,"Wichmannstraße 6, 10787 Berlin",52.5051,13.3484
11,Argentina,10,Buenos Aires   ,1,Buenos Aires,1,C.A. Buenos Aires,25055,Esc. Primaria Común Nº 16 Presidente Bartolome Mitre,Sarmiento 2832,-34.6067,-58.4062
11,Argentina,10,Buenos Aires   ,1,Buenos Aires,1,C.A. Buenos Aires,25157,Esc. Primaria Común N° 03 Dr. Onésimo Leguizamón,Av. Santa Fe 1510 Parana  y montevideo,-34.596,-58.3892
11,Argentina,10,Buenos Aires   ,1,Buenos Aires,1,C.A. Buenos Aires,25162,Escuela Técnica Nº 29 D.E. 06 Reconquista de Buenos Aires ,Av. Boedo n°760 Independencia y EEUU,-34.6217,-58.4166
11,Argentina,10,Buenos Aires   ,1,Buenos Aires,1,C.A. Buenos Aires,25056,Esc. De Educación Media N° 02/13° Escuela del Parque,"Avenida Lacarra 1151,  San Pedro, Francisco Bilbao",-34.645,-58.4763
11,Argentina,10,Buenos Aires   ,1,Buenos Aires,1,C.A. Buenos Aires,25158,Colegio Nº 18 Dr. Alberto Larroque,Moron 4149 Sanabria y Gualeguaychu,-34.6278,-58.4881
11,Argentina,10,Buenos Aires   ,1,Buenos Aires,1,C.A. Buenos Aires,25163,Escuela De Jornada Completa Nº 08 D.E. 20 Dr. Dalmacio Vélez Sársfield,"Fonrouge 370, Capital Federal Liniers plaza martin garcia de Cosio y Gaaguazu",-34.6423,-58.5122
11,Argentina,10,Buenos Aires   ,1,Buenos Aires,1,C.A. Buenos Aires,25166,Escuela De Jornada Completa Nº 18 D.E. 20 República de Corea ,"Murguiondo 76, Capital Federal Liniers, Rivadavia (11008) y Lorenzo Falcon",-34.6401,-58.5186
11,Argentina,10,Buenos Aires   ,1,Buenos Aires,1,C.A. Buenos Aires,25167,Escuela De Jornada Simple Nº 07 D.E. 18 Republica Arabe de Egipto,"Av Rivadavia 9799, Capital Federal Villa Luro, moliere y Rivadavia",-34.6376,-58.5023
11,Argentina,10,Buenos Aires   ,1,Buenos Aires,1,C.A. Buenos Aires,25173,Escuela N° 3 De 20 Republica Francesa,"Montiel 153, Capital Federal Liniers, ibarrola y Lorenzo Falcon",-34.641,-58.5266
